Epoch,LearningRate,TrainLoss,ValiLoss,TestLoss,MAELoss,MAPELoss,TrainCG,TestCG,TestCGI,ValiCG,ValiCGI
1,0.0007999999999999986,nan,nan,nan,nan,nan,"[0.49501317 0.5221114  0.53716598 0.54299962 0.54826872 0.55222055
 0.55457283 0.55664283 0.55071509 0.54648099]","[0.02977749 0.01799738 0.01799738 0.01570681 0.01636126 0.01603403
 0.01865183 0.01701571 0.01668848 0.01570681]",0.0,"[0.03805774 0.02755906 0.0328084  0.02624672 0.02821522 0.02362205
 0.0183727  0.01902887 0.02230971 0.02230971]",0.0
2,0.0007999999999999986,nan,nan,nan,nan,nan,"[0.02907414 0.02361686 0.0179714  0.01928867 0.01806549 0.0179714
 0.01731276 0.01768912 0.01740685 0.01618367]","[0.02977749 0.01799738 0.01799738 0.01570681 0.01636126 0.01603403
 0.01865183 0.01701571 0.01668848 0.01570681]",0.0,"[0.03805774 0.02755906 0.0328084  0.02624672 0.02821522 0.02362205
 0.0183727  0.01902887 0.02230971 0.02230971]",0.0
3,0.0003999999999999993,nan,nan,nan,nan,nan,"[0.02907414 0.02361686 0.0179714  0.01928867 0.01806549 0.0179714
 0.01731276 0.01768912 0.01740685 0.01618367]","[0.02977749 0.01799738 0.01799738 0.01570681 0.01636126 0.01603403
 0.01865183 0.01701571 0.01668848 0.01570681]",0.0,"[0.03805774 0.02755906 0.0328084  0.02624672 0.02821522 0.02362205
 0.0183727  0.01902887 0.02230971 0.02230971]",0.0
4,0.00019999999999999966,nan,nan,nan,nan,nan,"[0.02907414 0.02361686 0.0179714  0.01928867 0.01806549 0.0179714
 0.01731276 0.01768912 0.01740685 0.01618367]","[0.02977749 0.01799738 0.01799738 0.01570681 0.01636126 0.01603403
 0.01865183 0.01701571 0.01668848 0.01570681]",0.0,"[0.03805774 0.02755906 0.0328084  0.02624672 0.02821522 0.02362205
 0.0183727  0.01902887 0.02230971 0.02230971]",0.0
5,9.999999999999983e-05,nan,nan,nan,nan,nan,"[0.02907414 0.02361686 0.0179714  0.01928867 0.01806549 0.0179714
 0.01731276 0.01768912 0.01740685 0.01618367]","[0.02977749 0.01799738 0.01799738 0.01570681 0.01636126 0.01603403
 0.01865183 0.01701571 0.01668848 0.01570681]",0.0,"[0.03805774 0.02755906 0.0328084  0.02624672 0.02821522 0.02362205
 0.0183727  0.01902887 0.02230971 0.02230971]",0.0
6,4.9999999999999914e-05,nan,nan,nan,nan,nan,"[0.02907414 0.02361686 0.0179714  0.01928867 0.01806549 0.0179714
 0.01731276 0.01768912 0.01740685 0.01618367]","[0.02977749 0.01799738 0.01799738 0.01570681 0.01636126 0.01603403
 0.01865183 0.01701571 0.01668848 0.01570681]",0.0,"[0.03805774 0.02755906 0.0328084  0.02624672 0.02821522 0.02362205
 0.0183727  0.01902887 0.02230971 0.02230971]",0.0
7,2.4999999999999957e-05,nan,nan,nan,nan,nan,"[0.02907414 0.02361686 0.0179714  0.01928867 0.01806549 0.0179714
 0.01731276 0.01768912 0.01740685 0.01618367]","[0.02977749 0.01799738 0.01799738 0.01570681 0.01636126 0.01603403
 0.01865183 0.01701571 0.01668848 0.01570681]",0.0,"[0.03805774 0.02755906 0.0328084  0.02624672 0.02821522 0.02362205
 0.0183727  0.01902887 0.02230971 0.02230971]",0.0
8,1.2499999999999979e-05,nan,nan,nan,nan,nan,"[0.02907414 0.02361686 0.0179714  0.01928867 0.01806549 0.0179714
 0.01731276 0.01768912 0.01740685 0.01618367]","[0.02977749 0.01799738 0.01799738 0.01570681 0.01636126 0.01603403
 0.01865183 0.01701571 0.01668848 0.01570681]",0.0,"[0.03805774 0.02755906 0.0328084  0.02624672 0.02821522 0.02362205
 0.0183727  0.01902887 0.02230971 0.02230971]",0.0
9,6.249999999999989e-06,nan,nan,nan,nan,nan,"[0.02907414 0.02361686 0.0179714  0.01928867 0.01806549 0.0179714
 0.01731276 0.01768912 0.01740685 0.01618367]","[0.02977749 0.01799738 0.01799738 0.01570681 0.01636126 0.01603403
 0.01865183 0.01701571 0.01668848 0.01570681]",0.0,"[0.03805774 0.02755906 0.0328084  0.02624672 0.02821522 0.02362205
 0.0183727  0.01902887 0.02230971 0.02230971]",0.0
