Epoch,LearningRate,TrainLoss,ValiLoss,TestLoss,MAELoss,MAPELoss,TrainCG,TestCG,TestCGI,ValiCG,ValiCGI
1,0.0003999999999999993,0.005709454482242871,0.04331887913090687,0.013837321864080728,0.0977979611013623,0.06675645401812261,"[0.49427453 0.49503551 0.49876794 0.50072474 0.50173938 0.5053631
 0.50630526]","[0.48744174 0.49715173 0.4984464  0.5007768  0.5023304  0.49831693
 0.49818747]",0.0,"[0.50053706 0.49382385 0.50053706 0.50429646 0.5093985  0.51100967
 0.5093985 ]",0.0
2,0.0003999999999999993,0.005909811957238854,0.044615104231783914,0.014034593124923568,0.09495808586337401,0.06485336184441842,"[0.48996231 0.49007102 0.48978113 0.49075953 0.48967242 0.48496159
 0.48358458]","[0.48537027 0.48899534 0.48537027 0.47591921 0.48614707 0.48407561
 0.48485241]",0.0,"[0.49650913 0.5018797  0.49892589 0.50698174 0.49892589 0.50161117
 0.49382385]",0.0
3,0.0003999999999999993,0.005877011890661294,0.04679441815159955,0.01426302466367388,0.09491574692437141,0.06510752562666433,"[0.48840412 0.49347732 0.49046963 0.49460067 0.49202783 0.49420206
 0.48586752]","[0.48873641 0.49754013 0.4949508  0.48355774 0.49391507 0.49119627
 0.48938374]",0.0,"[0.50349087 0.50456498 0.5075188  0.50483351 0.50886144 0.50590763
 0.49946294]",0.0
4,0.0003999999999999993,0.005379721232996308,0.02685617339245189,0.007697013987845152,0.07004762698589004,0.048219284401909444,"[0.49481809 0.49278881 0.49409335 0.49416582 0.49007102 0.49644876
 0.49286128]","[0.48731227 0.49624547 0.49365614 0.48731227 0.4953392  0.49598654
 0.49236147]",0.0,"[0.50886144 0.50241676 0.51100967 0.51235231 0.51987111 0.51879699
 0.50805585]",0.0
5,0.0003199999999999995,0.004871999044288399,0.024587111242233537,0.006603800357218855,0.06513353774602829,0.04525166396837795,"[0.49249891 0.49311494 0.49173793 0.49829685 0.49420206 0.49452819
 0.49789825]","[0.49119627 0.49624547 0.49197307 0.48058001 0.48783014 0.48096841
 0.47630761]",0.0,"[0.50214823 0.50161117 0.5075188  0.50241676 0.50161117 0.50617615
 0.49221267]",0.0
6,0.0002559999999999996,0.004573922405528432,0.01672551819469635,0.005155539927830337,0.056552046335990536,0.039143159487868305,"[0.49543412 0.50105088 0.49833309 0.49952892 0.49623134 0.50036237
 0.50018119]","[0.48731227 0.49210254 0.48329881 0.47229415 0.48316934 0.47358881
 0.47501295]",0.0,"[0.50590763 0.51047261 0.50671321 0.50537057 0.5018797  0.49785177
 0.48442535]",0.0
7,0.0002047999999999997,0.004642984898868538,0.008655555384110364,0.003360222283529321,0.0450938715515557,0.03165445232388656,"[0.4923902  0.4952167  0.49213654 0.49478185 0.49133932 0.49304247
 0.49286128]","[0.494174   0.5003884  0.49974107 0.49365614 0.49624547 0.49637494
 0.49676334]",0.0,"[0.48603652 0.48549946 0.48845328 0.49221267 0.50295381 0.50295381
 0.49677766]",0.0
8,0.00016383999999999976,0.004406186000176754,0.00850593508565078,0.0030065730156879668,0.04263546704162725,0.030014752925931636,"[0.49184664 0.49735469 0.49952892 0.50550804 0.49960139 0.50434846
 0.5060516 ]","[0.49197307 0.496116   0.48938374 0.48783014 0.49197307 0.4906784
 0.48640601]",0.0,"[0.50644468 0.50053706 0.49946294 0.50510204 0.50993555 0.5056391
 0.5037594 ]",0.0
9,0.00013107199999999982,0.004021229509353492,0.007812976906006268,0.0027700769071610735,0.04063603145990121,0.02861619372053939,"[0.49369474 0.50163067 0.50021742 0.50279026 0.50413103 0.50949413
 0.50365995]","[0.49818747 0.50712066 0.49935267 0.49041947 0.49236147 0.4910668
 0.4926204 ]",0.0,"[0.51342642 0.51772288 0.52067669 0.51476907 0.51960258 0.51906552
 0.50993555]",0.0
10,0.00010485759999999985,0.003988896769354564,0.007178911160243521,0.0025640841141829004,0.038694025764645985,0.027444712652300075,"[0.49525294 0.50148572 0.5025366  0.50456588 0.50612408 0.5038049
 0.50181186]","[0.49754013 0.49948213 0.50245987 0.50440186 0.50142413 0.49948213
 0.4957276 ]",0.0,"[0.48147154 0.47529538 0.47583244 0.48120301 0.48039742 0.47287863
 0.47126745]",0.0
11,8.388607999999989e-05,0.003985630561223788,0.00677382902307469,0.002484275074293842,0.038053042455858506,0.026868184918167812,"[0.48974489 0.49608639 0.49981881 0.50485578 0.50619655 0.5111248
 0.50677634]","[0.49365614 0.49818747 0.49624547 0.49715173 0.5011652  0.50220093
 0.4996116 ]",0.0,"[0.51262084 0.51987111 0.52416756 0.51450054 0.51772288 0.51718582
 0.51503759]",0.0
12,6.710886399999992e-05,0.003704137482908695,0.006477001637230261,0.002461070224434098,0.038054975211487214,0.026990847132766282,"[0.49789825 0.50043485 0.50503696 0.51380635 0.51543702 0.51677779
 0.51862589]","[0.49715173 0.50142413 0.49080787 0.49016054 0.49404454 0.49391507
 0.48990161]",0.0,"[0.50617615 0.51208378 0.51288937 0.51691729 0.51342642 0.51100967
 0.51181525]",0.0
13,5.3687091199999934e-05,0.003920892136793905,0.006959702848947533,0.0024616535035497157,0.038050500530019356,0.026960724875451984,"[0.49847804 0.50394985 0.5053631  0.50938542 0.50837078 0.51290042
 0.51058124]","[0.49676334 0.50647333 0.50220093 0.4996116  0.50401346 0.5
 0.49909373]",0.0,"[0.50644468 0.51262084 0.51503759 0.51933405 0.52013963 0.52121375
 0.51799141]",0.0
14,4.294967295999995e-05,0.0036387338556109787,0.006403005056691976,0.002418944048650578,0.03744313452640719,0.026460758306578975,"[0.49920278 0.50242789 0.5009784  0.5082983  0.50869691 0.51351645
 0.51148717]","[0.49546867 0.50258933 0.49948213 0.50064733 0.50556706 0.50673226
 0.50750906]",0.0,"[0.50537057 0.5056391  0.50698174 0.51288937 0.51879699 0.52443609
 0.51933405]",0.0
15,3.435973836799996e-05,0.0036317751353850303,0.006447235034042459,0.0024249693572630693,0.037579082510593734,0.026485591972570388,"[0.49452819 0.50333382 0.50420351 0.51166836 0.51018264 0.51507465
 0.51097985]","[0.5        0.5023304  0.5        0.49896427 0.50142413 0.50453133
 0.50569653]",0.0,"[0.50161117 0.50268528 0.4981203  0.50644468 0.51396348 0.51181525
 0.51584318]",0.0
16,2.748779069439997e-05,0.003644038904900972,0.006376094706879519,0.0024456092426409356,0.03809977757622951,0.02670671410019669,"[0.49702855 0.50202928 0.50960284 0.50710248 0.51228439 0.5174663
 0.51406001]","[0.492232   0.4933972  0.49080787 0.48821854 0.49352667 0.49352667
 0.49870533]",0.0,"[0.50456498 0.49892589 0.5037594  0.50322234 0.5056391  0.51342642
 0.51208378]",0.0
17,2.1990232555519978e-05,0.0035284432208963564,0.006384813249251599,0.002446786527625068,0.03814976273566593,0.026810134266978702,"[0.49764459 0.49862299 0.50268155 0.5076098  0.50786346 0.51177707
 0.51221191]","[0.496116   0.5007768  0.49326774 0.48990161 0.49482134 0.49391507
 0.49469187]",0.0,"[0.49758324 0.4981203  0.50483351 0.50912997 0.50993555 0.5112782
 0.50993555]",0.0
18,1.7592186044415984e-05,0.003630444746914207,0.006482614487143312,0.0024954740313748373,0.038582385535984226,0.02704639998277874,"[0.49293376 0.50246413 0.50485578 0.51137846 0.51351645 0.51264676
 0.51021887]","[0.49041947 0.4926204  0.48808907 0.48446401 0.49016054 0.49171414
 0.4914552 ]",0.0,"[0.5        0.50832438 0.51745435 0.51825994 0.5112782  0.51396348
 0.51530612]",0.0
19,1.4073748835532788e-05,0.003568137585664804,0.006405562817989645,0.0025270589580256007,0.038942586091611824,0.027226795859592434,"[0.4949268  0.50213799 0.50275402 0.5098565  0.5057617  0.51123351
 0.50989274]","[0.4910668  0.49637494 0.48977214 0.48498187 0.48705334 0.48679441
 0.48938374]",0.0,"[0.5018797  0.50805585 0.51369495 0.51718582 0.51638024 0.52148228
 0.51799141]",0.0
20,1.1258999068426231e-05,0.0035653186406114875,0.006298963419567127,0.0024716675176270075,0.03833816144861385,0.026829406665674262,"[0.49666618 0.5047833  0.50402232 0.51040006 0.51195825 0.51442238
 0.51482099]","[0.49391507 0.496116   0.49029001 0.48472294 0.48886587 0.492232
 0.49171414]",0.0,"[0.4981203  0.50295381 0.5093985  0.51154672 0.50993555 0.51154672
 0.51584318]",0.0
