Epoch,LearningRate,TrainLoss,ValiLoss,TestLoss,MAELoss,MAPELoss,TrainCG,TestCG,TestCGI,ValiCG,ValiCGI
1,7.999999999999999e-05,0.6028684577516009,0.9617364036582284,0.8948680375874771,0.6653808093751254,0.6026609332057768,[0.44378698 0.48232638 0.50739645 0.51728434 0.53838368 0.51471504],[0.5872962  0.65149457 0.61345109 0.62601902 0.60665761 0.5455163 ],0.0,[0.55826271 0.57521186 0.54661017 0.55402542 0.55614407 0.50211864],0.0
2,7.999999999999999e-05,0.5718091011008075,0.27694489533807765,0.598936185018038,0.5730427295657927,0.6505605886872534,[0.450872   0.49018997 0.52787294 0.53807225 0.54585799 0.53449081],[0.56012228 0.65455163 0.58016304 0.70108696 0.62839674 0.62873641],0.0,[0.5625     0.64936441 0.58262712 0.73411017 0.65995763 0.66101695],0.0
3,7.999999999999999e-05,0.4875230864223656,0.4989608568336688,1.0823592733004657,0.8093255622028981,1.1175998538459206,[0.44106197 0.48217066 0.51868577 0.53526939 0.550763   0.53425724],[0.49014946 0.51528533 0.54177989 0.59442935 0.57540761 0.65421196],0.0,[0.49258475 0.53601695 0.56885593 0.63241525 0.60911017 0.70021186],0.0
4,5.9999999999999995e-05,0.5115226741539712,0.23932185975866296,0.5569544954923913,0.5451905742773543,0.6454372074778961,[0.45390844 0.49447213 0.53161009 0.54305512 0.55613516 0.54507941],[0.57506793 0.62805707 0.65591033 0.73403533 0.68953804 0.67629076],0.0,[0.61864407 0.62288136 0.66949153 0.77754237 0.75       0.70444915],0.0
5,4.4999999999999996e-05,0.4528707785728004,0.19627403390546472,0.47260895877337566,0.5042671922229879,0.6072371165349107,[0.45865774 0.50210215 0.55045157 0.56306447 0.57061663 0.54998443],[0.58152174 0.63688859 0.65523098 0.71569293 0.68308424 0.66066576],0.0,[0.61016949 0.64088983 0.6779661  0.77118644 0.74788136 0.72563559],0.0
6,3.3749999999999994e-05,0.3934996394406496,0.16174508991919584,0.4247399219033389,0.47406076925361285,0.5754342864611712,[0.47617565 0.52047649 0.56898163 0.59054812 0.58891311 0.56578947],[0.57302989 0.62669837 0.6640625  0.71976902 0.67798913 0.6470788 ],0.0,[0.62711864 0.63241525 0.6875     0.77436441 0.74682203 0.73728814],0.0
7,2.53125e-05,0.35326757623724175,0.14143289195105307,0.39784804605575197,0.4462000339737405,0.5511368399121516,[0.4762535  0.52888508 0.57832451 0.60207101 0.60284958 0.57801308],[0.58695652 0.63790761 0.671875   0.73335598 0.6939538  0.66847826],0.0,[0.63983051 0.65254237 0.68432203 0.77330508 0.76059322 0.74682203],0.0
8,1.8984375e-05,0.3261854774431202,0.13468036499916244,0.386771911492637,0.4353741755830529,0.5422772458835464,[0.48925568 0.53947368 0.58704453 0.61188103 0.6141389  0.58104952],[0.58865489 0.65115489 0.6705163  0.72927989 0.68851902 0.65319293],0.0,[0.65042373 0.66313559 0.66949153 0.76588983 0.7690678  0.73411017],0.0
9,1.423828125e-05,0.3045817742539137,0.12459063488137671,0.36478504723408667,0.41765079410422756,0.5169437411342465,[0.48793211 0.5354251  0.58922454 0.6110246  0.61125818 0.58494239],[0.60258152 0.65285326 0.68376359 0.73709239 0.70855978 0.66881793],0.0,[0.65889831 0.66419492 0.67584746 0.76377119 0.76377119 0.73516949],0.0
10,1.0678710937499999e-05,0.2943256415516024,0.12223502633682752,0.36055055767824146,0.4142597511653667,0.5152446410477,[0.5        0.54640299 0.59140455 0.61374961 0.6263625  0.59008097],[0.60088315 0.65794837 0.67866848 0.72826087 0.70788043 0.67357337],0.0,[0.65889831 0.67055085 0.68114407 0.76483051 0.77118644 0.73622881],0.0
