Epoch,LearningRate,TrainLoss,ValiLoss,TestLoss,MAELoss,MAPELoss,TrainCG,TestCG,TestCGI,ValiCG,ValiCGI
1,3.9999999999999956e-07,0.12082274444264268,0.8939848826474868,16.858854396911525,2.6831186269333673,0.15938710659680266,[0.48855942],[0.50742857],0.0,[0.48684411],0.0
2,3.9999999999999956e-07,0.11516221214726437,0.8073639085693392,14.993116446960794,2.503322498991731,0.15388281750679017,[0.49050675],[0.50659048],0.0,[0.49095057],0.0
3,3.9999999999999956e-07,0.10722907095850844,0.6281109428068644,11.889809126852551,2.2016493135208175,0.14143897019308949,[0.49152467],[0.50948571],0.0,[0.49688213],0.0
4,3.9999999999999956e-07,0.089635526360252,0.29662729207948185,6.010640681545888,1.5637861510728086,0.11742171011403912,[0.49409161],[0.5072],0.0,[0.49536122],0.0
5,3.9999999999999956e-07,0.07832099103180777,0.19118901375068542,3.7940979772288665,1.2227833139487498,0.1023331862060087,[0.49484399],[0.50300952],0.0,[0.49307985],0.0
6,3.9999999999999956e-07,0.07343054620210204,0.13691343247050333,2.692510622269378,1.0281905431550529,0.09518631260034939,[0.49555211],[0.49912381],0.0,[0.49688213],0.0
7,3.9999999999999956e-07,0.07176319727299892,0.11330199488155374,2.1932109221632627,0.925248205922544,0.09091939583793282,[0.49805267],[0.5000381],0.0,[0.49885932],0.0
8,3.9999999999999956e-07,0.06926686019707559,0.1031242718108303,1.8365631228911667,0.8353974656366876,0.0865744735705888,[0.49687984],[0.50072381],0.0,[0.4956654],0.0
9,3.9999999999999956e-07,0.06833792412277723,0.09694819836779905,1.6580775939021661,0.791672462529015,0.08524193802742021,[0.49736667],[0.50148571],0.0,[0.49657795],0.0
10,3.9999999999999956e-07,0.068221260368742,0.0901981785490413,1.4940338074162969,0.7509786463913818,0.08308398243208372,[0.49820757],[0.49973333],0.0,[0.49551331],0.0
11,3.9999999999999956e-07,0.06852191074397368,0.08779712225493759,1.4032076515848804,0.7268260059871134,0.08270029258390978,[0.49725603],[0.50354286],0.0,[0.49718631],0.0
12,3.9999999999999956e-07,0.06668165122929176,0.08416830063082664,1.33848825913383,0.7099780950024724,0.0812347816384974,[0.50064173],[0.50217143],0.0,[0.49901141],0.0
13,3.9999999999999956e-07,0.06730077464905512,0.08380986248741029,1.3259184269038184,0.7070739358312317,0.0813744417203679,[0.49862802],[0.50201905],0.0,[0.49885932],0.0
14,3.9999999999999956e-07,0.06705944930701935,0.08529072759892993,1.3461804971202704,0.7090945422635192,0.08137752194689321,[0.49831821],[0.50598095],0.0,[0.49612167],0.0
