Epoch,LearningRate,TrainLoss,ValiLoss,TestLoss,MAELoss,MAPELoss,TrainCG,TestCG,TestCGI,ValiCG,ValiCGI
1,0.0007999999999999986,0.02333467528529499,0.007254318268312378,0.025319328164443385,0.09345015409968127,1.6116603572048418,[0.50908562 0.51737171 0.51940689 0.5302733  0.53343509 0.53408926],[0.50039588 0.49617313 0.51266825 0.50527844 0.50395883 0.51200845],0.0,[0.51482103 0.5106264  0.49021253 0.48825503 0.47986577 0.47790828],0.0
2,0.0007999999999999986,0.03035683716099063,0.006913425277406037,0.022104646076367564,0.0901905612939687,1.7616730032389893,[0.50574211 0.50450647 0.51148423 0.52424044 0.52525803 0.5309638 ],[0.49102666 0.49498548 0.50435471 0.49802059 0.5030351  0.5138559 ],0.0,[0.49608501 0.5        0.49161074 0.50027964 0.49272931 0.49804251],0.0
3,0.0007999999999999986,0.026119124393963883,0.006997179097118307,0.02104673555528648,0.08797742576970294,1.665840421012077,[0.50795901 0.51072104 0.51410089 0.52794738 0.52602122 0.52791103],[0.49313803 0.48785959 0.49643705 0.49577725 0.50145157 0.50765373],0.0,[0.50755034 0.5        0.48461969 0.48965324 0.47706935 0.47259508],0.0
4,0.0007999999999999986,0.02669048089560362,0.005962717901297002,0.017649323237021404,0.07943121469280995,1.5795096258056938,[0.50432476 0.50759558 0.51635412 0.52602122 0.52278674 0.52518535],[0.49010293 0.49115862 0.50461863 0.50870942 0.51464766 0.52876748],0.0,[0.5        0.5033557  0.49161074 0.4913311  0.47455257 0.47119687],0.0
5,0.000639999999999999,0.02270001175448113,0.005949948817857185,0.019184838074582482,0.0826278075171002,1.798739177992631,[0.505306   0.5038523  0.50715947 0.51835296 0.51871638 0.51849833],[0.50184745 0.50277118 0.50593824 0.50039588 0.50646609 0.51438374],0.0,[0.50559284 0.49524609 0.48098434 0.47902685 0.46420582 0.4700783 ],0.0
6,0.0005119999999999992,0.021126722089494267,0.00592441577107869,0.018260010361133106,0.07932148283525936,1.6247530810443518,[0.50944905 0.51588167 0.52271406 0.53587004 0.53034598 0.52536706],[0.49841647 0.49419372 0.49775666 0.49419372 0.50329902 0.51306413],0.0,[0.49580537 0.49972036 0.48825503 0.49496644 0.47762864 0.4787472 ],0.0
