Epoch,LearningRate,TrainLoss,ValiLoss,TestLoss,MAELoss,MAPELoss,TrainCG,TestCG,TestCGI,ValiCG,ValiCGI
1,7.999999999999999e-05,0.007524540396499528,0.004822007576089344,0.006924416503472769,0.05195154857433547,0.009694123236045257,[0.50800401 0.50214644 0.50447342 0.49660983 0.49047141],[0.5094126  0.52031139 0.5163482  0.52427459 0.52002831],0.0,[0.5030303  0.5015873  0.50880231 0.48917749 0.51486291],0.0
2,7.999999999999999e-05,0.008046233821823807,0.006063300269623714,0.0072204148935950205,0.051223582675138726,0.00957461131633815,[0.50302909 0.49925777 0.49845537 0.49315948 0.49528586],[0.52554848 0.53248408 0.5368719  0.52413305 0.53446568],0.0,[0.50735931 0.51803752 0.51341991 0.51284271 0.51948052],0.0
3,7.999999999999999e-05,0.006001102274267296,0.006523393163844976,0.005128300153390798,0.04361441590963624,0.00816674723691305,[0.50407222 0.50018054 0.49488465 0.48862588 0.49532598],[0.52569002 0.53474876 0.52894551 0.53701345 0.54196745],0.0,[0.5021645  0.5047619  0.50995671 0.50649351 0.51572872],0.0
4,5.599999999999999e-05,0.0055776371813091785,0.005281281975874225,0.008892909521654314,0.05643760268487463,0.010502207529024529,[0.5024674  0.50166499 0.49817452 0.49921765 0.48942828],[0.50290163 0.49738146 0.50403397 0.48747346 0.51096957],0.0,[0.5001443  0.48888889 0.4955267  0.49494949 0.50966811],0.0
5,3.919999999999999e-05,0.0037890869517960366,0.002314397796828395,0.004129575988510124,0.0388529205517494,0.007230156924020597,[0.50383149 0.49953862 0.50286861 0.49223671 0.49697091],[0.50771408 0.51606511 0.51464968 0.51932059 0.52016985],0.0,[0.51486291 0.51399711 0.51774892 0.51255411 0.50851371],0.0
6,2.743999999999999e-05,0.00346013050082569,0.0025449930367378005,0.005027961716732354,0.04084761583978562,0.007627530207470922,[0.51021063 0.50042126 0.502668   0.50471414 0.50002006],[0.5143666  0.52413305 0.52031139 0.52427459 0.53092711],0.0,[0.51341991 0.50966811 0.51139971 0.51341991 0.51313131],0.0
7,1.9207999999999993e-05,0.0031510611982267186,0.0026312224724907717,0.00425602577824016,0.03818439031599824,0.007174811462114742,[0.50194584 0.49941825 0.50054162 0.49480441 0.502668  ],[0.51620665 0.51663128 0.51280962 0.5163482  0.53092711],0.0,[0.5047619  0.5015873  0.51717172 0.51832612 0.53160173],0.0
8,1.3445599999999994e-05,0.0030426556757215837,0.0020802257992056754,0.0040243510494329116,0.03663752315403144,0.006857620842808558,[0.50282849 0.50158475 0.50435306 0.50230692 0.50258776],[0.51663128 0.51521585 0.50969568 0.51181883 0.51875442],0.0,[0.5047619  0.5007215  0.51428571 0.50937951 0.52236652],0.0
9,9.411919999999997e-06,0.002885138025739176,0.002054098892182991,0.003922824481201477,0.03629507594715516,0.006796535789699314,[0.50455366 0.50130391 0.5061986  0.50487462 0.50647944],[0.50658174 0.51790517 0.51096957 0.51082803 0.51804671],0.0,[0.5027417  0.5024531  0.51111111 0.50880231 0.52438672],0.0
10,6.588343999999996e-06,0.002893101691470776,0.0019406412307763153,0.00365977068202197,0.035056703215793183,0.006571918953772337,[0.5024674  0.50038114 0.50302909 0.50607823 0.50595787],[0.50912951 0.51564048 0.50955414 0.51280962 0.51521585],0.0,[0.5010101  0.5030303  0.50707071 0.50678211 0.51803752],0.0
11,4.611840799999998e-06,0.002779088760563293,0.001910305623855158,0.003491106266967677,0.03404955262129089,0.006387128728458042,[0.50615848 0.51081244 0.50852558 0.50840522 0.51029087],[0.50870488 0.51592357 0.51181883 0.51606511 0.51620665],0.0,[0.5030303  0.50793651 0.50851371 0.51370851 0.51746032],0.0
12,3.228288559999998e-06,0.002773537320118907,0.0017999333472965323,0.003337114842204006,0.03333231991404761,0.0062435603551784105,[0.50551655 0.50712136 0.50407222 0.50302909 0.50579739],[0.50898797 0.51606511 0.51252654 0.51564048 0.52300071],0.0,[0.4995671  0.51168831 0.51370851 0.51255411 0.52554113],0.0
13,2.2598019919999987e-06,0.0028002686562840088,0.0017655452694109509,0.0032177104644891125,0.03262282658621447,0.006112222594147389,[0.50391174 0.50535607 0.50692076 0.50599799 0.50832497],[0.50997877 0.51549894 0.51592357 0.51606511 0.52653928],0.0,[0.5015873  0.51457431 0.51717172 0.51053391 0.51832612],0.0
