Epoch,LearningRate,TrainLoss,ValiLoss,TestLoss,MAELoss,MAPELoss,TrainCG,TestCG,TestCGI,ValiCG,ValiCGI
1,0.0007999999999999986,0.0486654344617648,0.006083037201125759,0.010477453453856653,0.07569818331410627,2.164708513791276,[0.51866419 0.51339518 0.516141   0.52044527 0.52474954 0.52623377],[0.51020979 0.49818182 0.49370629 0.50125874 0.50713287 0.49370629],0.0,[0.51492063 0.52       0.5047619  0.52253968 0.53015873 0.53460317],0.0
2,0.0007999999999999986,0.05905827291555029,0.005857137583012763,0.009695716399635951,0.06986105565333388,1.6078610613577433,[0.5025603  0.49432282 0.4890538  0.49513915 0.49283859 0.4955102 ],[0.50573427 0.52783217 0.52307692 0.53398601 0.53258741 0.52783217],0.0,[0.53777778 0.5231746  0.51936508 0.52190476 0.5231746  0.51047619],0.0
3,0.0003999999999999993,0.05562125508648813,0.004519285202118298,0.006694279453522604,0.05903569275376524,1.9312775542900955,[0.5006308  0.49380334 0.4987013  0.49974026 0.5025603  0.50983302],[0.50433566 0.49482517 0.4841958  0.48727273 0.48475524 0.47440559],0.0,[0.51936508 0.51174603 0.51936508 0.52444444 0.5447619  0.5447619 ],0.0
4,0.00019999999999999966,0.04817346659384656,0.0039902278352995394,0.006021929571531339,0.05511779136161183,2.0723345940366023,[0.49781076 0.49558442 0.49721707 0.50085343 0.50018553 0.50263451],[0.50657343 0.5006993  0.50405594 0.50125874 0.49622378 0.48223776],0.0,[0.51619048 0.50285714 0.50793651 0.50984127 0.51936508 0.5384127 ],0.0
5,9.999999999999983e-05,0.042970941462039995,0.0035465219833390113,0.0053679549361458434,0.05231721788267051,2.3242066525085665,[0.49402597 0.49387755 0.48430427 0.48630798 0.48935065 0.49365492],[0.49958042 0.48923077 0.49202797 0.48643357 0.4813986  0.47524476],0.0,[0.50539683 0.50349206 0.50666667 0.5047619  0.5231746  0.5352381 ],0.0
6,4.9999999999999914e-05,0.03861711836802399,0.003343210526543858,0.005497454338086487,0.05306054529655803,2.5496314592679012,[0.49499072 0.48942486 0.49024119 0.49194805 0.49120594 0.49996289],[0.4965035  0.47440559 0.47776224 0.47356643 0.46685315 0.45874126],0.0,[0.50285714 0.49714286 0.51111111 0.5168254  0.52698413 0.53079365],0.0
7,2.4999999999999957e-05,0.036662665287213396,0.003326822844639306,0.005356171050441374,0.05280545344999568,2.5175348706856058,[0.50033395 0.49402597 0.49320965 0.49617811 0.49862709 0.50886827],[0.48727273 0.47496503 0.47692308 0.47132867 0.46993007 0.45482517],0.0,[0.48634921 0.48380952 0.50031746 0.50920635 0.53079365 0.53714286],0.0
